Disease ID	Drug Combination
C0033860	('DB00860', 'DB01024')
C0023418	('DB00563', 'DB00619')
C0003811	('DB00281', 'DB00343')
C0003864	('DB00635', 'DB00741')
C0033860	('DB00091', 'DB01024')
C0026769	('DB00181', 'DB00697', 'DB08868')
C0003811	('DB00204', 'DB00379')
C0022658	('DB00635', 'DB00741')
C0003873	('DB01097', 'DB01611')
C0011849	('DB00412', 'DB01076', 'DB01083')
C0003873	('DB00091', 'DB00563')
C0024141	('DB00860', 'DB00993', 'DB01611')
C0022658	('DB00999', 'DB01029')
C0004096	('DB01274', 'DB01409')
C0011849	('DB00412', 'DB00641')
C0003873	('DB00563', 'DB01097')
C0023418	('DB00619', 'DB00694', 'DB00987')
C0003864	('DB01050', 'DB01234')
C0033578	('DB00007', 'DB00499')
C0024141	('DB00860', 'DB00993')
C0011849	('DB01306', 'DB06655')
C0024141	('DB00091', 'DB00993')
C0030567	('DB00190', 'DB00915', 'DB01235')
C0011849	('DB00222', 'DB00331', 'DB01076')
C0003873	('DB00563', 'DB00795', 'DB01097', 'DB01611')
C0020517	('DB00635', 'DB00860')
C0006118	('DB00361', 'DB01006')
C0023890	('DB00421', 'DB00695')
C0011849	('DB00331', 'DB00731')
C0004096	('DB00471', 'DB00744', 'DB01274')
C0011849	('DB00284', 'DB01083')
C1956346	('DB00641', 'DB01039')
C0004096	('DB00277', 'DB01234')
C1956346	('DB00641', 'DB01039', 'DB01076')
C0023418	('DB00541', 'DB00563')
C0011849	('DB00222', 'DB01132')
C0003873	('DB00482', 'DB00995')
C0023418	('DB00563', 'DB00987')
C0004364	('DB00635', 'DB00959')
C0024299	('DB00563', 'DB00635')
C0242422	('DB00190', 'DB01235')
C0002395	('DB00163', 'DB01043')
C0014544	('DB00230', 'DB00996')
C1956346	('DB00175', 'DB00227', 'DB00641', 'DB01076')
C0003873	('DB00860', 'DB00993', 'DB01611')
C0009324	('DB00741', 'DB00860')
C0023418	('DB00541', 'DB00997')
C0014544	('DB00555', 'DB01068')
